age,annual_income,credit_score,total_spending_val,tx_frequency
41.0,64337.79,379.0,14664.33,30.0
31.0,133153.1,715.0,7212.62,31.0
31.0,134528.19,679.0,8825.88,19.0
58.0,110242.89,565.0,17392.32,12.0
64.0,138661.47,646.0,17276.13,28.0
38.0,26211.57,678.0,19473.37,93.0
60.0,125832.4,590.0,15897.5,21.0
33.0,137379.15,656.0,6205.46,28.0
45.0,67911.26,328.0,8288.02,36.0
49.0,34095.19,665.0,18760.15,104.0
58.0,130243.74,630.0,16327.4,26.0
31.0,26550.19,713.0,16106.86,94.0
57.0,129660.08,649.0,18683.65,19.0
44.0,34509.87,829.0,16743.71,102.0
46.0,25981.0,796.0,17433.81,95.0
40.0,52777.16,376.0,11816.43,39.0
36.0,133946.26,742.0,5249.48,12.0
29.0,128624.43,664.0,3909.43,19.0
56.0,139506.05,613.0,17540.47,29.0
68.0,122725.27,642.0,16654.64,18.0
40.0,30396.99,714.0,20037.27,99.0
32.0,27704.66,728.0,18232.47,87.0
43.0,56605.26,473.0,14334.98,34.0
37.0,46668.54,485.0,11453.71,37.0
60.0,133967.48,615.0,17425.65,11.0
50.0,62251.89,493.0,12272.11,46.0
46.0,67992.33,393.0,12033.99,38.0
46.0,55499.36,540.0,11275.86,26.0
44.0,74089.97,470.0,12604.73,48.0
43.0,62927.14,493.0,12601.22,54.0
44.0,37398.59,701.0,17065.19,97.0
47.0,58435.18,474.0,11493.12,39.0
58.0,124282.53,670.0,19253.8,28.0
58.0,136815.56,616.0,17915.51,29.0
49.0,55168.97,330.0,11947.42,47.0
58.0,132656.54,545.0,16851.55,23.0
40.0,26326.63,739.0,20420.27,80.0
27.0,139541.78,621.0,4756.08,30.0
40.0,24686.02,599.0,17582.24,114.0
59.0,137115.42,638.0,18275.25,16.0
41.0,25298.67,688.0,20226.89,103.0
49.0,53256.62,463.0,12479.36,46.0
57.0,142387.09,485.0,19883.08,32.0
44.0,44810.03,647.0,20933.15,96.0
32.0,129414.8,733.0,7199.0,40.0
49.0,57366.64,430.0,13638.16,29.0
56.0,124872.74,697.0,19494.16,22.0
32.0,141643.66,707.0,7603.93,23.0
40.0,54559.04,381.0,12570.72,26.0
40.0,36426.38,753.0,16202.74,103.0
41.0,31359.93,776.0,18815.92,95.0
45.0,53216.21,455.0,15126.47,44.0
52.0,122665.0,580.0,17464.82,24.0
53.0,123254.39,640.0,18410.72,24.0
33.0,33610.83,716.0,17072.61,82.0
52.0,55949.38,462.0,9368.52,21.0
44.0,62330.71,456.0,10821.69,41.0
58.0,134095.6,560.0,22392.68,23.0
48.0,22667.97,757.0,17004.16,97.0
50.0,49683.14,475.0,11345.99,28.0
58.0,130580.48,570.0,16791.53,28.0
44.0,56866.17,368.0,12224.58,37.0
60.0,123724.11,659.0,17517.72,18.0
42.0,68402.29,437.0,13140.96,49.0
47.0,25286.31,692.0,16832.4,106.0
41.0,59432.37,414.0,13125.07,26.0
27.0,132804.7,753.0,6288.37,21.0
40.0,69772.02,372.0,15731.27,37.0
36.0,29354.13,694.0,17589.76,95.0
